"class","Aspect_30m.tif","Curvature_30m.tif","Dis2Roads_30m.tif","Dis2stream_30m.tif","Elevation_30m.tif","Geomorphology_30m.tif","Lithology_30m.tif","LULC_30m.tif","Rainfall_30m.tif","Slope_30m.tif","Soil_30m.tif","SPI_30m.tif","Stream_Density_30m.tif","TWI_30m.tif"
0,180,-0.111111111938953,318.904388427734,516.139526367188,43,1,1,5,1203.29296875,7.31031847000122,3808,-11.4595346450806,951.296447753906,7.31031847000122
0,90,-0.111111111938953,488.364624023438,684.105224609375,41,1,1,5,1220.53308105469,9.51866912841797,3808,-11.0862884521484,658.011169433594,9.51866912841797
1,156.801406860352,-0.444444447755814,4506.19580078125,818.840637207031,43,1,1,7,1201.5908203125,7.09069395065308,3695,-10.861891746521,660.145874023438,7.09069395065308
1,45,0.333333343267441,150,218.403289794922,40,2,1,5,1234.33630371094,6.11777114868164,3682,-10.6119546890259,950.941772460938,6.11777114868164
0,333.434936523438,0.111111111938953,3159.27197265625,60,37,1,1,5,1187.16296386719,10.5837049484253,3743,0.475437819957733,1509.802734375,10.5837049484253
1,270,0.111111111938953,934.344665527344,967.470947265625,39,3,4,5,1182.42504882812,14.0976305007935,3743,-1.98675358295441,149.546005249023,14.0976305007935
0,231.340194702148,0.111111111938953,123.693168640137,424.264068603516,41,3,4,7,1179.77941894531,7.15725755691528,3743,-3.45538187026978,285.69580078125,7.15725755691528
0,236.309936523438,-0.111111111938953,1180.72009277344,509.116882324219,41,1,1,5,1228.07775878906,6.05278825759888,3695,-10.9135360717773,406.270599365234,6.05278825759888
1,270,0.444444447755814,2495.59619140625,1315.90270996094,38,3,4,5,1176.7978515625,9.54920959472656,3743,-11.4595346450806,719.198608398438,9.54920959472656
0,3.01278686523438,-0.222222223877907,540,695.844787597656,42,1,1,5,1172.38159179688,9.04652881622314,3808,-0.0274572800844908,1265.93627929688,9.04652881622314
0,116.565048217773,-0.333333343267441,1142.36596679688,192.093734741211,41,1,2,7,1226.916015625,6.29809188842773,3808,-11.3580436706543,1216.54296875,6.29809188842773
0,0,0.111111111938953,602.992553710938,900.499877929688,37,1,1,6,1223.15832519531,9.93835163116455,3808,-3.7677526473999,1114.75439453125,9.93835163116455
1,333.434936523438,0.888888895511627,308.868896484375,1087.47412109375,39,1,1,5,1292.00573730469,11.7790775299072,3682,-2.14760303497314,78.3684997558594,11.7790775299072
1,209.054611206055,0.222222223877907,60,836.779541015625,40,3,1,7,1249.48950195312,9.19032192230225,3695,0.265272915363312,505.474517822266,9.19032192230225
1,135,0.555555582046509,2952.37182617188,296.98486328125,36,2,1,7,1257.57482910156,13.8900489807129,3682,0.571488380432129,1911.40393066406,13.8900489807129
0,161.565048217773,0.333333343267441,240,381.837677001953,42,1,1,7,1207.314453125,6.08032608032227,3808,-10.3760671615601,685.527587890625,6.08032608032227
0,341.565063476562,0.222222223877907,2036.90942382812,1740.25854492188,39,3,4,5,1172.75500488281,7.893394947052,3743,-10.6527242660522,5.07921838760376,7.893394947052
1,161.565048217773,0.444444447755814,1209.33862304688,1702.61560058594,36,3,4,6,1179.177734375,10.2846727371216,3808,-3.66300177574158,25.7593383789062,10.2846727371216
0,261.869903564453,-0.222222223877907,42.4264068603516,1785.18908691406,40,3,4,5,1178.9013671875,10.0452451705933,3808,-0.286600083112717,0,10.0452451705933
1,153.434951782227,0.222222223877907,240,120,34,3,1,1,1229.43530273438,11.5610370635986,3808,-2.41469788551331,1780.16638183594,11.5610370635986
1,15.2551183700562,0.333333343267441,408.044128417969,42.4264068603516,38,3,1,5,1229.45300292969,5.33719062805176,3808,-10.4762153625488,1755.07592773438,5.33719062805176
0,45,0,979.489685058594,371.079498291016,37,1,1,5,1229.09948730469,9.89499378204346,3808,-2.09456181526184,2349.2744140625,9.89499378204346
1,228.012786865234,-0.777777791023254,1786.19702148438,1170.38452148438,34,3,4,5,1171.12170410156,7.26258850097656,65535,-1.34729766845703,126.457801818848,7.26258850097656
0,270,0.444444447755814,67.0820388793945,577.0615234375,42,1,1,5,1228.49279785156,5.99505567550659,3808,-11.4595346450806,844.581604003906,5.99505567550659
0,300.963745117188,0.444444447755814,766.615966796875,127.279220581055,36,1,1,5,1228.93859863281,5.17283153533936,3808,-2.59557342529297,823.008422851562,5.17283153533936
1,23.1985893249512,1,5232.39892578125,375.89892578125,38,3,4,5,1232.37268066406,5.57282638549805,3743,-10.861891746521,1404.34423828125,5.57282638549805
